"generation","iteration","region","window_coords","snp_count","T2D","T1D_p1","T1D_p2","new_term_p1","new_term_p2","T2D_diff","FST"
2000,1,"foreground","1 1000001-1500000",1356,286.889299209568,68.6046513137153,39.1765193574938,218.284647895853,247.712779852074,272.175233231457,0.000422526
3000,1,"foreground","1 1000001-1500000",2395,234.84011517097,22.4031452971612,37.6966390459675,212.436969873808,197.143476125002,242.486862045373,0.00302316
3000,1,"background","1 500001-1000000",2469,553.670619465767,58.1389131109063,135.449156858365,495.531706354861,418.221462607402,592.325741339497,0.00216547
4000,1,"foreground","1 1000001-1500000",2824,815.945227482145,51.241428473837,318.176093283109,764.703799008308,497.769134199036,949.412559886781,0.00384715
4000,1,"background","1 500001-1000000",2669,252.593530261489,86.2736021671008,93.9557429966662,166.319928094388,158.637787264823,256.434600676272,0.00297174
5000,1,"foreground","1 1000001-1500000",3086,614.600623834172,243.053171690302,142.814700093495,371.54745214387,471.785923740677,564.481388035769,0.144165
5000,1,"background","1 500001-1000000",2945,274.80951999038,49.0811629206546,70.9717252568043,225.728357069725,203.837794733576,285.754801158455,0.00440782
2000,2,"foreground","1 1000001-1500000",1450,506.670149061991,84.7961681902816,50.9108929623362,421.873980871709,455.759256099655,489.727511448018,0.000923487
2000,2,"background","1 500001-1000000",1535,215.010855738692,22.8220849261816,12.7562445259682,192.18877081251,202.254611212724,209.977935538585,0.000521857
3000,2,"foreground","1 1000001-1500000",2292,539.473476632214,10.4693354549599,82.8709524562946,529.004141177254,456.60252417592,575.674285132882,0.00403498
3000,2,"background","1 500001-1000000",2394,236.860372091633,14.9966472665292,11.5597147551962,221.863724825103,225.300657336436,235.141905835966,0.00321445
4000,2,"foreground","1 1000001-1500000",2478,1692.04294760567,19.247701895034,36.1913037323829,1672.79524571064,1655.85164387329,1700.51474852435,0.00506014
4000,2,"background","1 500001-1000000",2877,273.680103043065,115.319575777081,45.2688294983927,158.360527265984,228.411273544672,238.654729903721,0.00240359
5000,2,"foreground","1 1000001-1500000",2809,9974.92625683965,345.85551507731,114.323394471718,9629.07074176234,9860.60286236793,9859.16019653686,0.110609
5000,2,"background","1 500001-1000000",3229,444.607994034617,59.4685112965053,26.0905624564257,385.139482738112,418.517431578191,427.919019614577,0.00361589
2000,3,"foreground","1 1000001-1500000",1480,517.209159693528,98.3183800675197,44.4811698252961,418.890779626008,472.727989868232,490.290554572416,0.000642556
2000,3,"background","1 500001-1000000",1334,314.547858690765,40.5748823391823,1.95634793555473,273.972976351582,312.59151075521,295.238591488951,0.000649647
3000,3,"foreground","1 1000001-1500000",2130,623.053060976203,223.351525010516,267.990366309925,399.701535965687,355.062694666278,645.372481625907,0.00635648
3000,3,"background","1 500001-1000000",2376,282.141341559487,49.6417127823006,36.6395887379258,232.499628777186,245.501752821561,275.6402795373,0.00403966
4000,3,"foreground","1 1000001-1500000",2395,789.665822514591,98.2497884328586,354.607132478035,691.416034081733,435.058690036556,917.844494537179,0.0116863
4000,3,"background","1 500001-1000000",2653,238.981401054316,7.49318650057103,31.4101166400797,231.488214553745,207.571284414236,250.93986612407,0.00281156
5000,3,"foreground","1 1000001-1500000",2827,651.039840295067,61.115267050598,150.92054641998,589.924573244469,500.119293875086,695.942479979758,0.0579017
5000,3,"background","1 500001-1000000",3025,217.500790567305,30.3077337545146,1.14245424117689,187.19305681279,216.358336326128,202.918150810636,0.00569582
2000,4,"foreground","1 1000001-1500000",1572,466.22973736425,12.3344639786519,13.1089205704102,453.895273385599,453.12081679384,466.61696566013,0.000760639
2000,4,"background","1 500001-1000000",1388,379.554546631074,50.5625088657252,59.535767604817,328.992037765349,320.018779026257,384.04117600062,0.00128639
3000,4,"foreground","1 1000001-1500000",2299,271.734187823185,6.62067781753649,6.10653027275839,265.113510005649,265.627657550427,271.477114050796,0.00273762
3000,4,"background","1 500001-1000000",2252,311.536234840652,48.6594200445397,131.688466301246,262.876814796113,179.847768539406,353.050757969006,0.00251867
4000,4,"foreground","1 1000001-1500000",2670,578.592465647369,18.870789272034,56.0365250161012,559.721676375335,522.555940631268,597.175333519403,0.00539143
4000,4,"background","1 500001-1000000",2753,246.736553982522,80.4870657315914,51.574455486978,166.249488250931,195.162098495544,232.280248860216,0.0032084
5000,4,"foreground","1 1000001-1500000",2715,1850.14770823525,134.344780472849,230.35075792349,1715.8029277624,1619.79695031176,1898.15069696057,0.017401
5000,4,"background","1 500001-1000000",3050,281.502421252429,42.8395856623647,52.2655195596963,238.662835590065,229.236901692733,286.215388201095,0.00327665
2000,5,"foreground","1 1000001-1500000",1492,361.38556816733,23.377528656094,22.9003550475099,338.008039511236,338.48521311982,361.146981363038,0.000714279
2000,5,"background","1 500001-1000000",1683,263.509649592364,23.5087272239853,49.1107171719123,240.000922368379,214.398932420452,276.310644566328,0.000597223
3000,5,"foreground","1 1000001-1500000",2205,456.434297609874,65.8667007763997,34.2459325379532,390.567596833474,422.188365071921,440.623913490651,0.00196946
3000,5,"background","1 500001-1000000",2342,299.384321179044,34.8719171576013,5.59291773275254,264.512404021443,293.791403446292,284.74482146662,0.00245834
4000,5,"foreground","1 1000001-1500000",2603,359.144742090379,7.9485554653329,85.9248333875839,351.196186625046,273.219908702795,398.132881051504,0.00538095
4000,5,"background","1 500001-1000000",2954,254.536865507616,12.6421962491731,83.4295234059609,241.894669258443,171.107342101655,289.93052908601,0.00413277
5000,5,"foreground","1 1000001-1500000",2687,11583.4434784089,72.1359234486608,286.261410485757,11511.3075549602,11297.1820679231,11690.5062219274,0.178054
5000,5,"background","1 500001-1000000",2981,418.310319341377,6.71946348680649,149.227196172724,411.590855854571,269.083123168653,489.564185684336,0.0056903
2000,6,"foreground","1 1000001-1500000",1515,480.856969859469,18.3249958582855,35.6019911993608,462.531974001184,445.254978660108,489.495467530007,0.000865343
2000,6,"background","1 500001-1000000",1663,364.233408623208,25.6384691626281,19.1625962383168,338.59493946058,345.070812384891,360.995472161052,0.000710631
3000,6,"foreground","1 1000001-1500000",2239,393.899164049679,60.2256082282511,64.6707938188556,333.673555821428,329.228370230823,396.121756844981,0.00357135
3000,6,"background","1 500001-1000000",2273,475.680154710051,39.9863366103273,44.9392283464331,435.693818099724,430.740926363618,478.156600578104,0.00337572
4000,6,"foreground","1 1000001-1500000",2372,473.570595828496,182.943733107273,16.3650426215681,290.626862721223,457.205553206928,390.281250585644,0.240033
4000,6,"background","1 500001-1000000",2909,288.840712952231,46.5987325997849,11.0170716978573,242.241980352446,277.823641254374,271.049882501267,0.00553005
5000,6,"foreground","1 1000001-1500000",2686,952.91041284626,311.55000900427,158.847483056055,641.360403841991,794.062929790205,876.559149872153,0.431725
5000,6,"background","1 500001-1000000",3276,333.324292721511,30.2717721967892,32.3788525747295,303.052520524721,300.945440146781,334.377832910481,0.00940591
2000,7,"foreground","1 1000001-1500000",1625,651.837691382134,91.353530051234,9.15864123066967,560.4841613309,642.679050151464,610.740246971852,0.00057241
2000,7,"background","1 500001-1000000",1556,222.902395650297,24.3713886004534,16.9219011588993,198.531007049844,205.980494491398,219.17765192952,0.000703186
3000,7,"foreground","1 1000001-1500000",2463,662.353269403033,50.9428935596443,164.530461562514,611.410375843388,497.822807840519,719.147053404467,0.00213654
3000,7,"background","1 500001-1000000",2432,322.66140209822,18.4159955236719,87.9262926012052,304.245406574548,234.735109497014,357.416550636986,0.0034416
4000,7,"foreground","1 1000001-1500000",2801,528.578238529495,134.665922746914,70.4513787230499,393.912315782582,458.126859806445,496.470966517563,0.00515522
4000,7,"background","1 500001-1000000",2708,498.457400616833,46.5672214204387,205.016195907498,451.890179196394,293.441204709336,577.681887860363,0.00329096
