chromosome,window_start,window_end,snp_count,T2D,T1D_p1,T1D_p2,new_term_p1,new_term_p2,T2D_diff
1,278,165079,500,463.587904305612,60.92481564167747,58.47909682034515,402.66308866393456,405.1088074852669,403.8859480746007
1,165080,331863,500,450.7501365192593,103.06897372741241,74.28494650801895,347.6811627918469,376.46519001124034,362.0731764015436
1,331864,432829,500,413.9085923695111,47.15723596490807,21.072124359898226,366.75135640460303,392.8364680096129,379.79391220710795
1,432830,481291,500,619.8412533796163,90.54790777829385,77.578115496578,529.2933456013225,542.2631378830383,535.7782417421804
1,481292,503592,500,512.2158742412521,27.031333170662037,22.944600771518708,485.18454107059006,489.2712734697334,487.2279072701617
1,503593,519449,500,381.47763753315576,39.83740219155516,36.394153224526235,341.6402353416006,345.0834843086295,343.36185982511506
1,519450,556496,500,406.5093709369794,76.76743832025386,33.52086729448229,329.74193261672553,372.9885036424971,351.3652181296113
1,556497,585369,500,555.8049759026553,77.92380853810482,88.9185791409418,477.8811673645505,466.8863967617135,472.383782063132
1,585370,618449,500,414.29117606073214,32.935729211968464,11.358492663988727,381.3554468487637,402.9326833967434,392.14406512275355
1,618450,646951,500,443.68128688899014,70.51959924516359,68.32381685000473,373.16168764382655,375.3574700389854,374.259578841406
1,646952,673226,500,469.18783550144417,30.995856254276077,64.83937698111276,438.1919792471681,404.3484585203314,421.27021888374975
1,673227,702813,500,492.48235786109944,21.305128419028733,17.69084290644423,471.1772294420707,474.7915149546552,472.98437219836296
1,702814,758012,500,436.3901245130546,42.34699285437637,30.065814169532132,394.04313165867825,406.3243103435225,400.18372100110037
1,758013,784111,500,433.4791349019879,55.873401099723196,32.60372973648009,377.6057338022647,400.8754051655078,389.24056948388625
1,784112,821825,500,378.0514311256675,44.51059629334122,11.128673297925161,333.54083483232625,366.9227578277423,350.2317963300343
1,821826,838287,500,426.68583378693074,35.164597282647264,24.900351279590723,391.5212365042835,401.78548250734,396.65335950581175
1,838288,857128,500,378.7612815864213,26.23643815208561,19.08546276150173,352.5248434343357,359.6758188249196,356.10033112962765
1,857129,870780,500,410.05846751669014,33.572163164048106,44.9025464290321,376.48630435264204,365.15592108765804,370.82111272015004
1,870781,897567,500,359.01766004949604,46.983658292772816,29.999610267498156,312.0340017567232,329.0180497819979,320.52602576936056
1,897568,931205,500,324.3675842133225,31.649854099850927,14.215966727376781,292.7177301134716,310.15161748594574,301.43467379970866
1,931206,982013,500,394.491369387194,20.436987304220565,39.49530365907958,374.05438208297346,354.99606572811444,364.52522390554395
1,982014,1033779,500,402.65052835930146,52.18268709463064,61.17141300624871,350.4678412646708,341.47911535305275,345.9734783088618
1,1033780,1051529,500,429.8680687187398,58.13229103683898,69.36505737887865,371.7357776819008,360.50301133986113,366.11939451088097
1,1051530,1077528,500,380.9902347182697,22.062476363087626,29.91374342607469,358.92775835518205,351.076491292195,355.0021248236885
1,1077529,1093568,500,396.0855169249171,18.74372425005822,26.767560056837283,377.3417926748589,369.3179568680798,373.32987477146935
1,1093569,1108847,500,398.989777703272,46.35264423033277,60.27650042226651,352.63713347293924,338.7132772810055,345.6752053769724
1,1108848,1118772,500,541.0762445175542,44.29388983698482,57.78997093586577,496.78235468056937,483.2862735816884,490.0343141311289
