"chromosome","window_start","window_end","snp_count","T2D","T1D_p1","T1D_p2","new_term_p1","new_term_p2","T2D_diff","FST"
"1",1,500000,2333,756.299829941592,72.7373791524515,28.0927841848861,683.562450789141,728.207045756706,705.884748272923,0.014435161
"1",10000001,10500000,11626,2119.39792856365,147.183364296565,185.393169276445,1972.21456426708,1934.0047592872,1953.10966177714,0.002351817
"1",1000001,1500000,11344,977.28880198035,210.873426227219,99.0575822318497,766.415375753131,878.231219748501,822.323297750816,-0.002153622
"1",10500001,11000000,10425,2218.86344355374,293.074720980803,319.241170269554,1925.78872257294,1899.62227328419,1912.70549792856,0.011895585
"1",11000001,11500000,11013,1269.21267441547,214.21823074657,63.1353240425233,1054.9944436689,1206.07735037294,1130.53589702092,0.007955585
"1",11500001,12000000,14329,1830.54872442616,194.281056145905,43.0719811945455,1636.26766828026,1787.47674323161,1711.87220575594,0.019936255
"1",12000001,12500000,12432,1410.80410664267,185.819259639131,37.6384879043326,1224.98484700354,1373.16561873833,1299.07523287093,-0.005678265
"1",12500001,13000000,11056,1344.59555315733,143.91120011828,162.352001819207,1200.68435303905,1182.24355133812,1191.46395218858,0.001719279
"1",13000001,13500000,10145,890.278536724771,86.2089205624652,61.3464116124378,804.069616162305,828.932125112333,816.500870637319,0.00261204
"1",13500001,14000000,12961,1232.64139201996,128.941423119686,209.021164903126,1103.69996890027,1023.62022711683,1063.66009800855,0.006708947
"1",14000001,14500000,7973,1283.319349539,179.167577668311,108.052840903751,1104.15177187069,1175.26650863525,1139.70914025297,0.00711239
"1",14500001,15000000,11071,1270.70002959381,69.6734268988948,55.2266660334135,1201.02660269491,1215.47336356039,1208.24998312765,0.017369356
"1",15000001,15500000,15161,1123.31906712914,84.0489869039448,104.100537208986,1039.27008022519,1019.21852992015,1029.24430507267,0.012986372
"1",1500001,2000000,10748,801.443311638461,134.694447641232,122.816442736774,666.748863997229,678.626868901687,672.687866449458,0.000648888
"1",15500001,16000000,7998,761.910901060197,182.590642492898,127.013023758729,579.320258567299,634.897877301468,607.109067934383,0.004337577
"1",16000001,16500000,7423,1016.7832960963,271.871515579638,111.792176612857,744.911780516661,904.991119483442,824.951450000051,0.010130029
"1",16500001,17000000,6045,886.594571605296,100.059905364775,102.905346350512,786.534666240521,783.689225254784,785.111945747652,0.010755821
"1",17000001,17500000,13037,1358.45242012132,274.336493968265,344.039442340028,1084.11592615306,1014.41297778129,1049.26445196717,-0.003758228
