chromosome,window_start,window_end,snp_count,T2D,T1D_p1,T1D_p2,new_term_p1,new_term_p2,T2D_diff
1,1,20000,110,238.47504126291346,38.277094707411834,47.76854976131665,200.19794655550163,190.70649150159682,195.45221902854922
1,20001,40000,10,42.75212185230247,13.060435015282824,8.439826546550805,29.69168683701965,34.31229530575167,32.00199107138566
1,40001,60000,4,,,,29.69168683701965,34.31229530575167,32.00199107138566
1,60001,80000,12,60.30636263792361,20.69137531328563,9.987571842627446,39.61498732463798,50.31879079529617,44.96688905996707
1,80001,100000,12,48.96995040382599,15.301122893992193,8.826243589188607,33.6688275098338,40.14370681463738,36.906267162235594
1,100001,120000,27,104.11842368834506,15.301035175453379,9.707827358564117,88.81738851289168,94.41059632978094,91.61399242133632
1,120001,140000,24,29.142344748049403,14.823596938906778,42.86212228655421,14.318747809142625,-13.719777538504808,0.2994851353189105
1,140001,160000,182,322.1360733297356,43.655654703745085,26.84346884508409,278.4804186259905,295.2926044846515,286.886511555321
1,160001,180000,210,292.33504381908983,65.45010742835734,16.568952321963366,226.8849363907325,275.76609149712647,251.32551394392948
1,180001,200000,76,125.08175698680395,29.512627317495003,40.41638421004262,95.56912966930895,84.66537277676133,90.11725122303514
1,200001,220000,84,157.03414253749827,17.799745211571462,21.425004268657688,139.2343973259268,135.60913826884058,137.4217677973837
1,220001,240000,25,100.14698323672775,10.109029892984722,21.453562437379887,90.03795334374303,78.69342079934786,84.36568707154544
1,240001,260000,10,56.9540589862722,20.592314204165476,15.554495522111115,36.361744782106726,41.39956346416109,38.88065412313391
1,260001,280000,26,66.15438104020325,36.11941026809549,27.072275449371205,30.034970772107755,39.08210559083204,34.5585381814699
1,280001,300000,94,183.7061497049125,53.53727606262987,66.7047262753457,130.16887364228262,117.00142342956678,123.5851485359247
1,300001,320000,29,95.33704789312438,16.154696225099286,17.995932570234785,79.18235166802509,77.34111532288959,78.26173349545735
1,320001,340000,102,189.78591358979827,28.615865419042848,11.042161266578773,161.17004817075542,178.7437523232195,169.95690024698746
1,340001,360000,162,320.2124148091666,33.081348586026934,52.52559823463605,287.13106622313967,267.68681657453055,277.4089413988351
1,360001,380000,48,111.42099520711491,44.69388568532128,25.894328316505096,66.72710952179364,85.52666689060982,76.12688820620173
1,380001,400000,48,106.64785749636854,21.36162274918661,15.9357790977229,85.28623474718194,90.71207839864564,87.99915657291379
1,400001,420000,49,125.8254121740083,22.384171236658375,16.43874122682601,103.44124093734993,109.3866709471823,106.41395594226611
1,420001,440000,269,590.1724072910151,154.21621314425374,45.736336334162615,435.9561941467614,544.4360709568525,490.19613255180695
1,440001,460000,95,241.3553973302087,38.0224364367657,48.36173731900794,203.332960893443,192.99366001120075,198.16331045232187
1,460001,480000,261,367.6503226661198,63.44058762304394,57.72750593902833,304.20973504307585,309.92281672709146,307.06627588508366
1,480001,500000,364,471.20753311366434,24.77868812607494,30.0861767211627,446.4288449875894,441.12135639250164,443.7751006900455
1,500001,520000,701,454.27822687824755,52.145468947179324,36.96390295859692,402.1327579310682,417.31432391965063,409.72354092535943
1,520001,540000,256,365.62712538642063,69.19567362177804,53.91928779171394,296.4314517646426,311.7078375947067,304.06964467967464
1,540001,560000,306,321.97714735239515,40.1639051345519,18.690814954024518,281.81324221784325,303.28633239837063,292.54978730810694
1,560001,580000,330,545.226432136822,96.20441674235553,120.06100858784794,449.0220153944665,425.1654235489741,437.0937194717203
1,580001,600000,248,352.80083154254953,39.7444136068857,28.664008069718648,313.05641793566383,324.1368234728309,318.59662070424736
1,600001,620000,444,411.49317082548805,59.793169769046926,23.62966562362999,351.7000010564411,387.86350520185806,369.7817531291496
1,620001,640000,337,391.36271314775286,54.845761575468714,52.71799908944422,336.51695157228414,338.64471405830864,337.5808328152964
1,640001,660000,269,310.40203627461415,17.16567588158796,43.2392269633317,293.2363603930262,267.16280931128244,280.1995848521543
1,660001,680000,495,544.0145006906323,44.1416401635006,33.501743733924286,499.8728605271317,510.512756956708,505.19280874191986
1,680001,700000,200,342.0121864880591,23.789418843881776,21.067275033310807,318.22276764417734,320.9449114547483,319.5838395494628
1,700001,720000,213,357.64146105077725,47.797964021198595,10.752074543008575,309.84349702957866,346.8893865077687,328.36644176867367
1,720001,740000,152,304.0799746674868,35.01276341624498,49.300451450700166,269.0672112512418,254.77952321678663,261.9233672340142
1,740001,760000,233,330.48438207976506,37.232243897134595,40.04353930322645,293.25213818263046,290.4408427765386,291.84649047958453
1,760001,780000,305,289.0453425598603,42.153447939031594,23.95051536725441,246.89189462082868,265.09482719260586,255.99336090671727
1,780001,800000,281,438.5018481762786,70.67543288321122,40.50237346381982,367.8264152930674,397.9994747124588,382.9129450027631
1,800001,820000,365,337.2219488593596,40.24543415830158,15.918129607392075,296.976514701058,321.3038192519675,309.1401669765128
1,820001,840000,613,453.66871418892333,37.41851464564843,19.89721755374194,416.2501995432749,433.7714966351814,425.01084808922815
1,840001,860000,589,458.45495669102365,17.210263431848944,33.475611960652714,441.2446932591747,424.97934473037094,433.1120189947728
1,860001,880000,701,389.5554369748852,45.060429400444264,37.33360583082958,344.49500757444093,352.2218311440556,348.3584193592483
1,880001,900000,207,250.61623366548474,48.92686030865275,23.642002455668944,201.689373356832,226.9742312098158,214.3318022833239
1,900001,920000,186,206.35926977583586,36.65161682141547,21.584888699559087,169.70765295442038,184.77438107627677,177.24101701534858
1,920001,940000,267,257.88001022791195,16.140562470681743,23.826420882456887,241.7394477572302,234.05358934545507,237.89651855134264
1,940001,960000,184,231.7752449856414,20.981981283373443,33.14288003361662,210.79326370226795,198.63236495202477,204.71281432714636
1,960001,980000,275,283.8894710465902,17.72264929055973,17.418751042832355,266.16682175603046,266.47072000375783,266.31877087989415
1,980001,1000000,398,404.1736831510352,56.27713398739024,59.93636559961078,347.896549163645,344.23731755142444,346.0669333575347
1,1000001,1020000,15,62.30517940701802,14.538779362668336,15.791818591284773,47.76640004434968,46.51336081573324,47.13988043004146
1,1020001,1040000,431,413.8764201700824,90.8946405884617,74.87345882529826,322.9817795816207,339.0029613447841,330.9923704632024
1,1040001,1060000,295,340.5926413917732,20.907799014608372,24.183799425574307,319.68484237716484,316.4088419661989,318.0468421716819
1,1060001,1080000,464,387.5252350310557,24.880890427744816,40.08789137248459,362.64434460331086,347.4373436585711,355.04084413094097
1,1080001,1100000,590,402.8782726233985,31.615664370580816,30.015252678031175,371.2626082528177,372.86301994536734,372.0628140990925
1,1100001,1120000,876,637.5681524540505,24.437451791316562,104.43085135465299,613.130700662734,533.1373010993975,573.1340008810657
1,1120001,1140000,622,448.1174564673147,26.173299152553227,19.922730830203363,421.94415731476147,428.19472563711133,425.0694414759364
1,1140001,1160000,247,253.05088035974768,36.28004815684335,25.4034830549258,216.77083220290433,227.64739730482188,222.2091147538631
1,1160001,1180000,553,339.22004450005534,38.635564437262474,52.60373840090142,300.58448006279286,286.6163060991539,293.6003930809734
1,1180001,1200000,302,288.94908963545504,12.872495273481945,22.6845650619789,276.0765943619731,266.26452457347614,271.1705594677246
1,1200001,1220000,528,363.40381830091246,27.302338207573484,32.30706752507922,336.101480093339,331.09675077583324,333.5991154345861
1,1220001,1240000,768,413.8931091526756,20.46139408707495,44.091799626181455,393.43171506560066,369.80130952649415,381.6165122960474
1,1240001,1260000,561,438.70177052246345,64.56503139322649,26.178830873082006,374.13673912923696,412.52293964938144,393.3298393893092
1,1260001,1280000,215,334.8494971623718,43.19361478051974,29.899813985741275,291.65588238185205,304.9496831766305,298.3027827792413
1,1280001,1300000,365,398.9253616245628,51.33105192064886,86.46093588930898,347.59430970391395,312.4644257352538,330.0293677195839
1,1300001,1320000,201,259.82302743279797,16.334027759631,25.272855853851752,243.48899967316697,234.55017157894622,239.0195856260566
1,1320001,1340000,1019,550.5593978865727,22.304561929200645,83.41454290971706,528.254835957372,467.14485497685564,497.69984546711385
